iter	RMSE
795	0.3795456935
796	0.3794613268
797	0.3793641274
798	0.3792791886
799	0.3792107244
800	0.3791236946
801	0.3790780167
802	0.3790245885
803	0.3789075539
804	0.3787979845
805	0.3787095443
806	0.378625197
807	0.3785510903
808	0.378493349
809	0.3784292004
810	0.378294726
811	0.3781664456
812	0.3781261389
813	0.3780345393
814	0.3779146634
815	0.3778255071
816	0.3777187951
817	0.3776007975
818	0.3775236198
819	0.3774654343
820	0.3773703057
821	0.3772575323
822	0.3771657488
823	0.3771180165
824	0.3769969029
825	0.3768612354
826	0.3767718838
827	0.3766677756
828	0.3766098067
829	0.3765348043
830	0.3764255892
831	0.3763383431
832	0.3762684469
833	0.3761850392
834	0.3761299655
835	0.3760337917
836	0.3759378835
837	0.3758643881
838	0.3757670651
839	0.3756415136
840	0.3755291835
841	0.3753821428
842	0.37527403
843	0.3752010751
844	0.375081983
845	0.3749776566
846	0.3749233647
847	0.3747686597
848	0.3746912646
849	0.3745581193
850	0.3744778748
851	0.3744211261
852	0.3743591661
853	0.3743009186
854	0.3742366032
855	0.374142097
856	0.3739449212
857	0.3738439734
858	0.373725409
859	0.3736516971
860	0.3735608992
861	0.373504514
862	0.3734099045
863	0.3733294225
864	0.3732032785
865	0.3730793152
866	0.3730118534
867	0.3729481668
868	0.3728741953
869	0.3727942868
870	0.3726943235
871	0.3726146731
872	0.3725503564
873	0.3724570256
874	0.372329059
875	0.3722537875
876	0.3721473556
877	0.3720587726
878	0.3719939991
879	0.3718945818
880	0.3718176674
881	0.371731861
882	0.3716030088
883	0.3715419388
884	0.3714500706
885	0.3713554382
886	0.3712798166
887	0.3711883704
888	0.3711275576
889	0.371020908
890	0.3709239123
891	0.3708248261
892	0.3707022589
893	0.3705945421
894	0.370483957
895	0.3704178493
896	0.3703478419
897	0.3702770506
898	0.3701650006
899	0.3701075872
900	0.3700389806
901	0.3699276947
902	0.369845351
903	0.3697607779
904	0.3696694026
905	0.3695791747
906	0.3694943316
907	0.3694294944
908	0.3692845427
909	0.369207945
910	0.3691762239
911	0.3691323055
912	0.3690535512
913	0.3689968761
914	0.3688448057
915	0.3687441015
916	0.3686561498
917	0.3685597064
918	0.3685032442
919	0.3684571126
920	0.3683659868
921	0.3682811508
922	0.3682134088
923	0.3681450293
924	0.3680174639
925	0.3679375481
926	0.3678657814
927	0.3678027946
928	0.3677469184
929	0.3676637473
930	0.3675413963
931	0.3674323736
932	0.3673289239
933	0.3672536853
934	0.3671543263
935	0.3670337014
936	0.3669220783
937	0.3668677074
938	0.3668041342
939	0.3667388631
940	0.3666454074
941	0.3665890057
942	0.3665312889
943	0.3664610117
944	0.3663822766
945	0.3662898785
946	0.3662230933
947	0.3661511985
948	0.3660780436
949	0.3660169764
950	0.3659270559
951	0.3658342501
952	0.3657608907
953	0.365675617
954	0.3655905211
955	0.3655076666
956	0.3654232978
957	0.3653011419
958	0.3652112361
959	0.3651308015
960	0.3650386226
961	0.3649586977
962	0.3648913289
963	0.3648039972
964	0.3647240235
965	0.3645807306
966	0.3644890732
967	0.3644466098
968	0.3643482376
969	0.3642539259
970	0.3641904034
971	0.3641319936
972	0.3640058608
973	0.3639481215
974	0.3638860401
975	0.3638254784
976	0.363758841
977	0.3636737228
978	0.3635439545
979	0.3634408641
980	0.3633090783
981	0.3632188423
982	0.3631444843
